t # 0
v cmovnb cmovnb
v bts bts
v mul mul
v sbb sbb
v imul imul
v movsxd movsxd
v push push
v mov mov
v cmp cmp
v inc inc
v cmova cmova
v cdqe cdqe
v pop pop
v cmovns cmovns
v movzx movzx
v add add
v jnb jnb
v xorps xorps
v shrd shrd
v cmovge cmovge
v lea lea
v cmovs cmovs
v ja ja
v cmovle cmovle
v cmovbe cmovbe
v ﻿sub ﻿sub
v cmovnz cmovnz
v rep rep
v jmp jmp
v retn retn
v cmovz cmovz
v sub sub
v cvtdq2pd cvtdq2pd
v jnz jnz
v xor xor
v js js
v and and
v jb jb
v idiv idiv
v jl jl
v jbe jbe
v sar sar
v setnz setnz
v movaps movaps
v movsx movsx
v setz setz
v call call
v dec dec
v movlpd movlpd
v movsd movsd
v jz jz
v neg neg
v test test
v jns jns
v shr shr
v adc adc
v jg jg
v jle jle
v cdq cdq
v cmovb cmovb
v not not
v shl shl
v nop nop
v db db
v cmovl cmovl
v xchg xchg
v or or
v jge jge
e cmovz pop 0.07142857142857142
e cmovz cmp 0.21428571428571427
e cmovz mov 0.35714285714285715
e cmovz push 0.35714285714285715
e idiv mov 1.0
e adc shrd 0.5
e adc push 0.5
e sub sub 0.019762845849802372
e sub xor 0.023715415019762844
e sub test 0.003952569169960474
e sub cdq 0.003952569169960474
e sub movsxd 0.007905138339920948
e sub call 0.019762845849802372
e sub pop 0.05138339920948617
e sub or 0.007905138339920948
e sub cmp 0.09486166007905138
e sub dec 0.011857707509881422
e sub shr 0.007905138339920948
e sub movsd 0.015810276679841896
e sub lea 0.09090909090909091
e sub mov 0.44664031620553357
e sub add 0.043478260869565216
e sub sar 0.007905138339920948
e sub rep 0.003952569169960474
e sub sbb 0.007905138339920948
e sub and 0.015810276679841896
e sub nop 0.003952569169960474
e sub push 0.11067193675889328
e db nop 1.0
e js call 1.0
e cmovge mov 1.0
e ﻿sub mov 1.0
e xor xor 0.07875894988066826
e xor test 0.03818615751789976
e xor movaps 0.002386634844868735
e xor call 0.00477326968973747
e xor pop 0.2720763723150358
e xor jmp 0.021479713603818614
e xor cmp 0.06205250596658711
e xor bts 0.00477326968973747
e xor shr 0.002386634844868735
e xor movzx 0.011933174224343675
e xor lea 0.03579952267303103
e xor mov 0.360381861575179
e xor add 0.03579952267303103
e xor retn 0.014319809069212411
e xor sbb 0.021479713603818614
e xor and 0.002386634844868735
e xor push 0.02386634844868735
e cdqe lea 0.3333333333333333
e cdqe mov 0.3333333333333333
e cdqe add 0.3333333333333333
e cvtdq2pd shr 1.0
e cmovl lea 1.0
e jz test 0.10606060606060606
e jz not 0.007575757575757576
e jz movsxd 0.06060606060606061
e jz call 0.03787878787878788
e jz jb 0.007575757575757576
e jz cmp 0.14393939393939395
e jz movzx 0.015151515151515152
e jz movsd 0.007575757575757576
e jz lea 0.10606060606060606
e jz mov 0.3181818181818182
e jz add 0.03787878787878788
e jz retn 0.015151515151515152
e jz ja 0.030303030303030304
e jz nop 0.007575757575757576
e test test 0.03361344537815126
e test inc 0.0056022408963585435
e test call 0.008403361344537815
e test pop 0.06582633053221289
e test setnz 0.004201680672268907
e test cmovnz 0.012605042016806723
e test or 0.0056022408963585435
e test setz 0.0014005602240896359
e test jle 0.004201680672268907
e test cmp 0.06722689075630252
e test dec 0.0028011204481792717
e test jnz 0.06442577030812324
e test movzx 0.0070028011204481795
e test movsd 0.0014005602240896359
e test lea 0.036414565826330535
e test jg 0.0014005602240896359
e test mov 0.29411764705882354
e test jns 0.0014005602240896359
e test cmovs 0.004201680672268907
e test cmovns 0.0014005602240896359
e test push 0.21008403361344538
e test movsx 0.004201680672268907
e test cmovle 0.0014005602240896359
e cdq mov 0.5714285714285714
e cdq push 0.2857142857142857
e jbe cmp 0.3333333333333333
e jbe mov 0.6666666666666666
e inc inc 0.03937007874015748
e inc pop 0.023622047244094488
e inc cmp 0.14960629921259844
e inc dec 0.023622047244094488
e inc neg 0.007874015748031496
e inc movzx 0.015748031496062992
e inc lea 0.047244094488188976
e inc mov 0.31496062992125984
e inc push 0.08661417322834646
e inc movsx 0.007874015748031496
e cmovb cmp 0.16666666666666666
e cmovb lea 0.16666666666666666
e cmovb mov 0.16666666666666666
e cmovb push 0.3333333333333333
e cmovb movsx 0.16666666666666666
e cmovbe mov 1.0
e jl jmp 0.5
e jl mov 0.5
e not call 0.1111111111111111
e not or 0.2222222222222222
e not shr 0.1111111111111111
e not mov 0.4444444444444444
e not add 0.1111111111111111
e shl or 0.037037037037037035
e shl cmp 0.07407407407407407
e shl movzx 0.07407407407407407
e shl lea 0.25925925925925924
e shl mov 0.2222222222222222
e shl add 0.037037037037037035
e shl push 0.18518518518518517
e jge mov 0.5
e movsxd movzx 0.041666666666666664
e movsxd lea 0.20833333333333334
e movsxd mov 0.3333333333333333
e movsxd add 0.4166666666666667
e movaps movaps 0.3333333333333333
e movaps add 0.3333333333333333
e xchg dec 0.125
e xchg mov 0.625
e xchg retn 0.125
e xchg push 0.125
e call call 0.04449648711943794
e call pop 0.01873536299765808
e call jmp 0.05620608899297424
e call or 0.00702576112412178
e call cmp 0.05620608899297424
e call movzx 0.00234192037470726
e call movsd 0.00234192037470726
e call lea 0.12177985948477751
e call mov 0.32084309133489464
e call add 0.0234192037470726
e call and 0.00234192037470726
e call nop 0.0234192037470726
e call push 0.02576112412177986
e call movsx 0.00234192037470726
e pop pop 0.4110429447852761
e pop jmp 0.0043821209465381246
e pop or 0.0035056967572304996
e pop setz 0.0026292725679228747
e pop cmp 0.0017528483786152498
e pop movzx 0.0017528483786152498
e pop lea 0.0026292725679228747
e pop mov 0.1586327782646801
e pop cmovnb 0.0008764241893076249
e pop retn 0.3628396143733567
e pop and 0.0017528483786152498
e pop push 0.0017528483786152498
e setnz jmp 0.2857142857142857
e setnz cmovnz 0.14285714285714285
e setnz cmp 0.14285714285714285
e setnz movzx 0.14285714285714285
e setnz push 0.14285714285714285
e jmp jmp 0.30718954248366015
e jmp cmp 0.026143790849673203
e jmp movzx 0.0196078431372549
e jmp lea 0.0915032679738562
e jmp mov 0.3137254901960784
e jmp add 0.026143790849673203
e jmp retn 0.006535947712418301
e jmp push 0.0718954248366013
e cmovnz cmp 0.10344827586206896
e cmovnz lea 0.034482758620689655
e cmovnz mov 0.3103448275862069
e cmovnz add 0.034482758620689655
e cmovnz and 0.034482758620689655
e cmovnz push 0.3793103448275862
e or or 0.014705882352941176
e or cmp 0.014705882352941176
e or dec 0.014705882352941176
e or shr 0.014705882352941176
e or mov 0.27941176470588236
e or and 0.014705882352941176
e or push 0.08823529411764706
e setz movzx 0.16666666666666666
e setz lea 0.16666666666666666
e setz mov 0.08333333333333333
e setz retn 0.08333333333333333
e setz push 0.08333333333333333
e jb cmp 0.07142857142857142
e jb lea 0.07142857142857142
e jb mov 0.07142857142857142
e jb add 0.5
e jb and 0.07142857142857142
e jle cmp 0.1111111111111111
e jle lea 0.1111111111111111
e jle mov 0.4444444444444444
e cmp cmp 0.149025069637883
e cmp dec 0.009749303621169917
e cmp neg 0.001392757660167131
e cmp jnz 0.05013927576601671
e cmp movzx 0.005571030640668524
e cmp lea 0.054317548746518104
e cmp jg 0.004178272980501393
e cmp mov 0.28133704735376047
e cmp cmovnb 0.006963788300835654
e cmp cmova 0.002785515320334262
e cmp sbb 0.001392757660167131
e cmp ja 0.008356545961002786
e cmp and 0.001392757660167131
e cmp imul 0.002785515320334262
e cmp nop 0.002785515320334262
e cmp jnb 0.006963788300835654
e cmp push 0.12813370473537605
e cmp movsx 0.008356545961002786
e movlpd movlpd 0.3333333333333333
e movlpd mov 0.3333333333333333
e bts mov 0.3333333333333333
e dec neg 0.029411764705882353
e dec lea 0.08823529411764706
e dec mov 0.23529411764705882
e dec imul 0.029411764705882353
e dec push 0.08823529411764706
e neg lea 0.06666666666666667
e neg mov 0.06666666666666667
e neg add 0.06666666666666667
e neg sbb 0.4
e jnz movzx 0.030927835051546393
e jnz lea 0.14432989690721648
e jnz mov 0.41237113402061853
e jnz add 0.07216494845360824
e shr movsd 0.058823529411764705
e shr lea 0.11764705882352941
e shr mov 0.29411764705882354
e shr add 0.058823529411764705
e shr imul 0.058823529411764705
e shr push 0.17647058823529413
e movzx movzx 0.08860759493670886
e movzx lea 0.05063291139240506
e movzx mov 0.27848101265822783
e movzx add 0.02531645569620253
e movzx imul 0.012658227848101266
e movzx push 0.08860759493670886
e movsd movsd 0.15
e movsd lea 0.05
e movsd mov 0.3
e movsd push 0.3
e lea lea 0.0995405819295559
e lea mov 0.32924961715160794
e lea add 0.009188361408882083
e lea cmovnb 0.0015313935681470138
e lea sar 0.0015313935681470138
e lea and 0.007656967840735069
e lea nop 0.004594180704441042
e lea push 0.2771822358346095
e lea movsx 0.0030627871362940277
e jg mov 0.75
e mov mov 0.3201803833145434
e mov add 0.011273957158962795
e mov cmovnb 0.0008455467869222097
e mov sar 0.0002818489289740699
e mov rep 0.0008455467869222097
e mov cmova 0.0005636978579481398
e mov retn 0.0016910935738444193
e mov sbb 0.0002818489289740699
e mov ja 0.0002818489289740699
e mov mul 0.0002818489289740699
e mov and 0.0062006764374295375
e mov imul 0.0008455467869222097
e mov nop 0.0005636978579481398
e mov push 0.10992108229988726
e mov movsx 0.0008455467869222097
e mov xorps 0.0005636978579481398
e add add 0.06382978723404255
e add retn 0.18439716312056736
e add and 0.0070921985815602835
e add nop 0.014184397163120567
e cmovnb push 0.09090909090909091
e cmova and 0.25
e retn retn 0.008639308855291577
e retn push 0.5377969762419006
e retn movsx 0.0021598272138228943
e sbb and 0.21052631578947367
e sbb push 0.21052631578947367
e mul push 1.0
e and and 0.1346153846153846
e and imul 0.019230769230769232
e and push 0.057692307692307696
e imul imul 0.09090909090909091
e nop nop 0.4772727272727273
e nop push 0.06818181818181818
e push push 0.4311797752808989
e push movsx 0.003745318352059925
t # 1
v cmovnb cmovnb
v mul mul
v sbb sbb
v imul imul
v movsxd movsxd
v movups movups
v push push
v mov mov
v cmp cmp
v inc inc
v cmova cmova
v cdqe cdqe
v pop pop
v cmovns cmovns
v fstp fstp
v movzx movzx
v add add
v jnb jnb
v pxor pxor
v shld shld
v xorps xorps
v cmovs cmovs
v lea lea
v ja ja
v cmovbe cmovbe
v movq movq
v ﻿sub ﻿sub
v cmovnz cmovnz
v rep rep
v jmp jmp
v retn retn
v cmovz cmovz
v sub sub
v jnz jnz
v xor xor
v js js
v and and
v jb jb
v jl jl
v jbe jbe
v punpcklwd punpcklwd
v sar sar
v setnz setnz
v movaps movaps
v movsx movsx
v pshufd pshufd
v setz setz
v punpcklbw punpcklbw
v call call
v cvttsd2si cvttsd2si
v cmovg cmovg
v dec dec
v movsd movsd
v jz jz
v neg neg
v test test
v jns jns
v shr shr
v adc adc
v jg jg
v jle jle
v cdq cdq
v cmovb cmovb
v not not
v shl shl
v nop nop
v db db
v lock lock
v xchg xchg
v or or
v jge jge
e cmovz test 0.18181818181818182
e cmovz or 0.09090909090909091
e cmovz cmp 0.09090909090909091
e cmovz mov 0.45454545454545453
e cmovz push 0.18181818181818182
e adc adc 0.08333333333333333
e adc cdq 0.08333333333333333
e adc pop 0.4166666666666667
e adc cmp 0.16666666666666666
e adc neg 0.08333333333333333
e adc mov 0.08333333333333333
e adc push 0.08333333333333333
e sub sub 0.05555555555555555
e sub xor 0.01282051282051282
e sub test 0.017094017094017096
e sub inc 0.004273504273504274
e sub shl 0.008547008547008548
e sub movsxd 0.008547008547008548
e sub xchg 0.004273504273504274
e sub call 0.021367521367521368
e sub pop 0.06837606837606838
e sub or 0.008547008547008548
e sub cmp 0.10683760683760683
e sub shr 0.008547008547008548
e sub lea 0.1111111111111111
e sub mov 0.36324786324786323
e sub add 0.04700854700854701
e sub sar 0.008547008547008548
e sub rep 0.004273504273504274
e sub and 0.004273504273504274
e sub push 0.1282051282051282
e sub movsx 0.004273504273504274
e sub xorps 0.004273504273504274
e db nop 1.0
e js call 1.0
e ﻿sub mov 1.0
e xor xor 0.056179775280898875
e xor test 0.02247191011235955
e xor inc 0.0044943820224719105
e xor shl 0.056179775280898875
e xor movaps 0.0022471910112359553
e xor call 0.0044943820224719105
e xor pop 0.28314606741573034
e xor jmp 0.020224719101123594
e xor or 0.006741573033707865
e xor cmp 0.10561797752808989
e xor movzx 0.0022471910112359553
e xor lea 0.033707865168539325
e xor mov 0.30786516853932583
e xor add 0.033707865168539325
e xor rep 0.0022471910112359553
e xor retn 0.011235955056179775
e xor sbb 0.0044943820224719105
e xor and 0.0022471910112359553
e xor push 0.029213483146067417
e xor lock 0.0022471910112359553
e cdqe lea 0.3333333333333333
e cdqe mov 0.3333333333333333
e cdqe add 0.3333333333333333
e punpcklwd cmova 1.0
e jz test 0.10606060606060606
e jz not 0.007575757575757576
e jz movsxd 0.06060606060606061
e jz call 0.03787878787878788
e jz jb 0.007575757575757576
e jz cmp 0.14393939393939395
e jz movzx 0.015151515151515152
e jz movsd 0.007575757575757576
e jz lea 0.10606060606060606
e jz mov 0.3181818181818182
e jz add 0.03787878787878788
e jz retn 0.015151515151515152
e jz ja 0.030303030303030304
e jz nop 0.007575757575757576
e test test 0.03546099290780142
e test inc 0.0070921985815602835
e test call 0.010638297872340425
e test pop 0.06382978723404255
e test setnz 0.0070921985815602835
e test cmovnz 0.0070921985815602835
e test or 0.012411347517730497
e test setz 0.0017730496453900709
e test jle 0.005319148936170213
e test cmp 0.06205673758865248
e test dec 0.0017730496453900709
e test neg 0.0017730496453900709
e test movq 0.0017730496453900709
e test jnz 0.08156028368794327
e test movzx 0.0070921985815602835
e test lea 0.03368794326241135
e test jg 0.0017730496453900709
e test mov 0.3173758865248227
e test sar 0.0017730496453900709
e test movups 0.0017730496453900709
e test jns 0.0017730496453900709
e test cmovs 0.0035460992907801418
e test cmovns 0.0017730496453900709
e test nop 0.0017730496453900709
e test push 0.17375886524822695
e test xorps 0.0035460992907801418
e cdq shl 0.16666666666666666
e cdq pop 0.3333333333333333
e cdq shld 0.16666666666666666
e cdq mov 0.16666666666666666
e cdq push 0.16666666666666666
e jbe cmp 0.3333333333333333
e jbe mov 0.6666666666666666
e inc inc 0.037037037037037035
e inc shl 0.012345679012345678
e inc pop 0.012345679012345678
e inc cmp 0.35802469135802467
e inc dec 0.024691358024691357
e inc shr 0.012345679012345678
e inc movzx 0.012345679012345678
e inc lea 0.037037037037037035
e inc mov 0.24691358024691357
e inc push 0.04938271604938271
e cmovb push 1.0
e cmovbe cmp 0.5
e cmovbe mov 0.5
e fstp fstp 0.5
e fstp movsd 0.25
