t # 0
v andl andl
v jns jns
v cmovae cmovae
v gs gs
v neg neg
v stos stos
v shrd shrd
v hlt hlt
v push push
v lea lea
v rclb rclb
v decl decl
v cs cs
v setb setb
v pushl pushl
v fmulp fmulp
v pusha pusha
v flds flds
v movb movb
v aaa aaa
v out out
v shll shll
v je je
v lock lock
v movsbl movsbl
v cltd cltd
v mul mul
v sahf sahf
v add add
v mov mov
v faddp faddp
v fld1 fld1
v andb andb
v fdivs fdivs
v fucomi fucomi
v fldcw fldcw
v lcall lcall
v js js
v movswl movswl
v xchg xchg
v testb testb
v popf popf
v divl divl
v setge setge
v fucomip fucomip
v shr shr
v movsb movsb
v idiv idiv
v fldz fldz
v cmove cmove
v sbb sbb
v movzwl movzwl
v xor xor
v ja ja
v not not
v aam aam
v sar sar
v jne jne
v cmc cmc
v addl addl
v jg jg
v ror ror
v fdivrp fdivrp
v sub sub
v cbtw cbtw
v subl subl
v setg setg
v sete sete
v jbe jbe
v arpl arpl
v cmp cmp
v jb jb
v movl movl
v fld fld
v lods lods
v inc inc
v repnz repnz
v movzbl movzbl
v daa daa
v shl shl
v cmpsl cmpsl
v shrl shrl
v es es
v test test
v cmpl cmpl
v orl orl
v setne setne
v pop pop
v div div
v ss ss
v incb incb
v imul imul
v movsbw movsbw
v jl jl
v fildll fildll
v repz repz
v fs fs
v addr16 addr16
v movw movw
v shlb shlb
v leave leave
v adc adc
v cmpw cmpw
v jle jle
v in in
v fstpl fstpl
v cmova cmova
v orb orb
v jge jge
v fstp fstp
v ret ret
v seta seta
v popa popa
v insl insl
v cmpb cmpb
v cmovl cmovl
v incl incl
v jmp jmp
v jae jae
v cmovbe cmovbe
v fistpll fistpll
v testl testl
v fmul fmul
v cmovb cmovb
v rolb rolb
v nop nop
v and and
v rol rol
v fxch fxch
v call call
v cmovne cmovne
v scas scas
v ljmp ljmp
v bsr bsr
v or or
v fnstcw fnstcw
v bound bound
v rep rep
v dec dec
v fmuls fmuls
v xlat xlat
v fiaddl fiaddl
e movzwl imul 0.15625
e cmpw lea 0.021739130434782608
e movsbl imul 0.034482758620689655
e mov imul 0.0012539789717372432
e cmove mov 0.39285714285714285
e fs inc 1.0
e add jmp 0.026252983293556086
e andl jmp 0.2
e sub inc 0.0048484848484848485
e xor rol 0.0022675736961451248
e movw inc 0.0625
e xor divl 0.006802721088435374
e or sub 0.013071895424836602
e jmp je 0.0005561735261401557
e rep mov 0.25
e fnstcw mov 0.6666666666666666
e or movzbl 0.006535947712418301
e cmc add 0.5
e ja cmpw 0.014705882352941176
e movb test 0.041237113402061855
e cmpb mov 0.05172413793103448
e add inc 0.029832935560859187
e xor repnz 0.0045351473922902496
e jg lea 0.5694444444444444
e movzbl ret 0.0036496350364963502
e cmpsl add 1.0
e sub mov 0.3660606060606061
e shr imul 0.015873015873015872
e movb cmp 0.002577319587628866
e cltd idiv 0.7
e rolb xchg 1.0
e xchg sbb 0.005291005291005291
e movb cmpw 0.005154639175257732
e jb faddp 0.020833333333333332
e push movl 0.004635482511588706
e movb jae 0.005154639175257732
e test movzbl 0.0007587253414264037
e je mov 0.43091655266757867
e call and 0.0009137983551629607
e fdivs flds 1.0
e jl jmp 0.0425531914893617
e or add 0.026143790849673203
e add jns 0.0011933174224343676
e jmp imul 0.0005561735261401557
e cmova lea 1.0
e and inc 0.02
e and out 0.006666666666666667
e sar push 0.07142857142857142
e pop sbb 0.0011001100110011
e add ret 0.00477326968973747
e ja cmp 0.029411764705882353
e cmp movl 0.0030959752321981426
e and cltd 0.006666666666666667
e xor push 0.02947845804988662
e sub movzbl 0.0024242424242424242
e sub leave 0.07515151515151515
e movb xchg 0.005154639175257732
e shr lea 0.047619047619047616
e dec mov 0.14814814814814814
e decl lea 0.05263157894736842
e jbe movsbl 0.0125
e call movsbl 0.0006091989034419738
e in inc 1.0
e push push 0.30130636325326593
e push cltd 0.00042140750105351877
e ja movl 0.014705882352941176
e or lea 0.013071895424836602
e call add 0.02040816326530612
e fld fmul 1.0
e pop jmp 0.0231023102310231
e call neg 0.0012183978068839476
e add hlt 0.0011933174224343676
e incl decl 0.06521739130434782
e sub add 0.01575757575757576
e subl cmp 0.3333333333333333
e push mov 0.2743362831858407
e lods and 0.2
e pop pop 0.504950495049505
e movzbl mov 0.3357664233576642
e xor leave 0.0045351473922902496
e movw jne 0.0625
e push jg 0.00042140750105351877
e shr jmp 0.015873015873015872
e xchg jne 0.021164021164021163
e shr movzbl 0.3492063492063492
e test cmovne 0.002276176024279211
e xor pop 0.07482993197278912
e fstp jmp 0.13333333333333333
e movzbl imul 0.01824817518248175
e cmp jle 0.022703818369453045
e pop andb 0.0011001100110011
e shll movzbl 0.7777777777777778
e cmpb cmovne 0.01293103448275862
e xor rep 0.0045351473922902496
e movb ja 0.002577319587628866
e cbtw movl 1.0
e sete movzbl 0.017241379310344827
e call andl 0.0009137983551629607
