t # 0
v shl shl
v pushl pushl
v jbe jbe
v lea lea
v pop pop
v jg jg
v cmove cmove
v je je
v addl addl
v jne jne
v cmovne cmovne
v leave leave
v xor xor
v rep rep
v call call
v ret ret
v jb jb
v sub sub
v and and
v jl jl
v movl movl
v ja ja
v cmpb cmpb
v movzbl movzbl
v seta seta
v orl orl
v jmp jmp
v cmpl cmpl
v setne setne
v add add
v test test
v sbb sbb
v mov mov
v xchg xchg
v sete sete
v nop nop
v repz repz
v jle jle
v cmp cmp
v movb movb
v push push
e orl sub 0.5
e movl jmp 0.02631578947368421
e jle lea 0.2
e je lea 0.06060606060606061
e call movl 0.0546875
e cmpb jne 0.4
e nop nop 0.7110091743119266
e push movl 0.02564102564102564
e sub and 0.022222222222222223
e xor jmp 0.11538461538461539
e add mov 0.6086956521739131
e and pushl 0.14285714285714285
e add pushl 0.043478260869565216
e shl mov 1.0
e movzbl mov 0.2727272727272727
e test je 0.5384615384615384
e test movl 0.038461538461538464
e repz je 0.3333333333333333
e movl lea 0.006578947368421052
e ret mov 0.1724137931034483
e xor lea 0.15384615384615385
e sub movl 0.06666666666666667
e jl mov 1.0
e test nop 0.01282051282051282
e movb mov 0.14285714285714285
e push push 0.10256410256410256
e and add 0.42857142857142855
e call mov 0.3984375
e pop lea 0.10869565217391304
e and mov 0.14285714285714285
e pop ret 0.3695652173913043
e jmp mov 0.20952380952380953
e jne mov 0.375
e pushl mov 0.5
e je mov 0.6060606060606061
e sub add 0.044444444444444446
e cmpb cmovne 0.05
e repz jne 0.3333333333333333
e movb jmp 0.2857142857142857
e xor mov 0.15384615384615385
e pop pop 0.5217391304347826
e cmpb movb 0.05
e cmp jle 0.16666666666666666
e xchg xchg 0.7777777777777778
e jb sub 0.5
e jmp lea 0.10476190476190476
e call cmp 0.046875
e sub leave 0.1111111111111111
e leave ret 0.5
e cmpb mov 0.15
e push lea 0.02564102564102564
e movl je 0.013157894736842105
e movb xor 0.09523809523809523
e orl mov 0.5
e repz seta 0.3333333333333333
e cmpl jg 0.2857142857142857
e push ret 0.02564102564102564
e addl mov 0.6
e cmp je 0.16666666666666666
e rep mov 1.0
e cmpl je 0.42857142857142855
e cmpb je 0.25
e call movzbl 0.03125
e movl mov 0.35526315789473684
e call xor 0.0078125
e nop lea 0.009174311926605505
e lea lea 0.12
e test jne 0.21794871794871795
e test mov 0.14102564102564102
e sete movl 0.2
e call add 0.0078125
e add add 0.043478260869565216
e push mov 0.6923076923076923
e leave jmp 0.5
e cmpb cmove 0.05
e and movl 0.14285714285714285
e test cmove 0.01282051282051282
e movb rep 0.047619047619047616
e xor add 0.038461538461538464
e cmpb lea 0.05
e mov sbb 0.0018552875695732839
e jle mov 0.2
e call nop 0.0234375
e movb movb 0.2857142857142857
e movzbl movzbl 0.09090909090909091
e cmpl jne 0.14285714285714285
e setne movzbl 1.0
e call jmp 0.1015625
e addl jmp 0.2
e xor xor 0.038461538461538464
e cmovne cmp 0.25
e cmp sbb 0.08333333333333333
e call push 0.0078125
e call leave 0.0234375
e addl cmp 0.2
e sete mov 0.8
e xor pop 0.11538461538461539
e movb test 0.047619047619047616
e ja jmp 0.5
e add movl 0.043478260869565216
e mov mov 0.4230055658627087
e xor movl 0.15384615384615385
e xor cmp 0.038461538461538464
e movb je 0.047619047619047616
e jne lea 0.0625
e jmp nop 0.47619047619047616
e ret lea 0.41379310344827586
e cmpl mov 0.14285714285714285
e cmovne mov 0.25
e cmp mov 0.125
e sub mov 0.26666666666666666
e push jmp 0.02564102564102564
e call sub 0.1171875
e cmp jne 0.041666666666666664
e call lea 0.0546875
e ja sub 0.5
e cmp jb 0.041666666666666664
e movb movl 0.047619047619047616
e test sete 0.038461538461538464
e jbe mov 1.0
e movl movl 0.3618421052631579
e mov lea 0.027829313543599257
t # 1
v pushl pushl
v jbe jbe
v js js
v lea lea
v pop pop
v jg jg
v cmove cmove
v je je
v jne jne
v movw movw
v leave leave
v xor xor
v call call
v rep rep
v ret ret
v sub sub
v and and
v jl jl
v movl movl
v ja ja
v movzbl movzbl
v orl orl
v jmp jmp
v cmpl cmpl
v setne setne
v add add
v test test
v cmpw cmpw
v mov mov
v xchg xchg
v sete sete
v nop nop
v repz repz
v jle jle
v cmp cmp
v movb movb
v push push
e movw mov 0.75
e sub mov 0.28205128205128205
e sub lea 0.02564102564102564
e nop nop 0.7064220183486238
e mov lea 0.02071563088512241
e cmpl je 1.0
e cmpw lea 1.0
e ja jmp 0.3333333333333333
e xor movl 0.18181818181818182
e xor jmp 0.09090909090909091
e xchg xchg 0.5
