t # 0
v andl andl
v jns jns
v cmovae cmovae
v gs gs
v neg neg
v stos stos
v shrd shrd
v hlt hlt
v push push
v lea lea
v rclb rclb
v decl decl
v cs cs
v setb setb
v pushl pushl
v fmulp fmulp
v pusha pusha
v flds flds
v movb movb
v aaa aaa
v out out
v shll shll
v je je
v lock lock
v movsbl movsbl
v cltd cltd
v mul mul
v sahf sahf
v mov mov
v add add
v faddp faddp
v fld1 fld1
v andb andb
v fdivs fdivs
v fucomi fucomi
v fldcw fldcw
v lcall lcall
v js js
v movswl movswl
v xchg xchg
v testb testb
v popf popf
v divl divl
v setge setge
v fucomip fucomip
v shr shr
v movsb movsb
v idiv idiv
v fldz fldz
v sbb sbb
v cmove cmove
v movzwl movzwl
v xor xor
v ja ja
v not not
v aam aam
v sar sar
v jne jne
v cmc cmc
v addl addl
v jg jg
v ror ror
v fdivrp fdivrp
v sub sub
v subl subl
v setg setg
v sete sete
v jbe jbe
v arpl arpl
v cmp cmp
v jb jb
v movl movl
v fld fld
v lods lods
v inc inc
v repnz repnz
v movzbl movzbl
v daa daa
v shl shl
v cmpsl cmpsl
v shrl shrl
v es es
v test test
v cmpl cmpl
v orl orl
v setne setne
v pop pop
v div div
v ss ss
v incb incb
v imul imul
v movsbw movsbw
v jl jl
v fildll fildll
v repz repz
v fs fs
v addr16 addr16
v movw movw
v shlb shlb
v leave leave
v adc adc
v cmpw cmpw
v jle jle
v in in
v fstpl fstpl
v orb orb
v jge jge
v fstp fstp
v ret ret
v seta seta
v popa popa
v insl insl
v cmpb cmpb
v cmovl cmovl
v incl incl
v jmp jmp
v jae jae
v cmovbe cmovbe
v fistpll fistpll
v testl testl
v fmul fmul
v cmovb cmovb
v rolb rolb
v nop nop
v and and
v scas scas
v fxch fxch
v call call
v cmovne cmovne
v ljmp ljmp
v or or
v fnstcw fnstcw
v bound bound
v rep rep
v dec dec
v fmuls fmuls
v xlat xlat
v fiaddl fiaddl
e div push 0.16666666666666666
e test xchg 0.00267379679144385
e repz seta 0.1
e ja cmp 0.045454545454545456
e fs inc 1.0
e pushl inc 0.002631578947368421
e andl jmp 0.2
e ja pop 0.022727272727272728
e call jmp 0.09224531170805879
e cmpw jne 0.6666666666666666
e xor rep 0.003401360544217687
e fnstcw mov 0.6666666666666666
e pop pop 0.4852173913043478
e xchg xchg 0.47191011235955055
e cmc add 0.5
e sete and 0.02631578947368421
e or repnz 0.045871559633027525
e sete push 0.02631578947368421
e xor shl 0.006802721088435374
e cmpsl add 1.0
e add pusha 0.0015748031496062992
e test jge 0.0066844919786096255
e movb xor 0.03314917127071823
e or sub 0.01834862385321101
e ja jne 0.022727272727272728
e cltd idiv 0.7
e rolb xchg 1.0
e push jg 0.0004938271604938272
e orl orl 0.06666666666666667
e call orl 0.0015205271160669033
e movsbl cmp 0.08333333333333333
e ja andb 0.022727272727272728
e movb movl 0.24861878453038674
e call and 0.0015205271160669033
e shr imul 0.023255813953488372
e movzwl imul 0.19230769230769232
e ja lea 0.045454545454545456
e sub imul 0.002398081534772182
e call decl 0.0005068423720223011
e fdivs flds 1.0
e addl sahf 0.05555555555555555
e and je 0.008620689655172414
e movw movb 0.14285714285714285
e shr jmp 0.023255813953488372
e pop cltd 0.0017391304347826088
e xor sub 0.017006802721088437
e je fmuls 0.0011312217194570137
e push add 0.012345679012345678
e sub mov 0.4244604316546763
e jbe lea 0.07142857142857142
e add inc 0.03937007874015748
e movb cmp 0.0055248618784530384
e cmpl sete 0.022988505747126436
e setne inc 0.05
e jbe cmp 0.07142857142857142
e movsbl inc 0.08333333333333333
e jb faddp 0.03225806451612903
e dec mov 0.14814814814814814
e decl lea 0.05263157894736842
e pop idiv 0.0017391304347826088
e ja jmp 0.20454545454545456
e jbe sub 0.017857142857142856
e cmpl jle 0.011494252873563218
e in inc 1.0
e movsbl movl 0.08333333333333333
e jmp imul 0.0010080645161290322
e ja movl 0.022727272727272728
e call xor 0.017232640648758235
e movb jmp 0.09392265193370165
e or incl 0.08256880733944955
e nop lea 0.028037383177570093
e xor jmp 0.07142857142857142
e movw jmp 0.14285714285714285
e xchg sbb 0.011235955056179775
e movsbw mov 0.42857142857142855
e setne cmpl 0.05
e sub push 0.047961630695443645
e call movl 0.05778003041054232
e fld fmul 1.0
e add movl 0.004724409448818898
e incl lea 0.022222222222222223
e add ret 0.006299212598425197
e call sub 0.031424227065382664
e test movzbl 0.001336898395721925
e lods and 0.2
e cmp je 0.30415430267062316
e cmovne jmp 0.2857142857142857
e add sbb 0.02204724409448819
e rep mov 0.2222222222222222
e jmp nop 0.31048387096774194
e push testb 0.0004938271604938272
e test jle 0.0053475935828877
e pop sub 0.0017391304347826088
e call push 0.10998479472883933
e fstp jmp 0.13333333333333333
e ja shl 0.022727272727272728
e cmp setg 0.001483679525222552
e jl jmp 0.05128205128205128
e shll movzbl 0.7777777777777778
