Level,Classifier,TPR,FPR,Precision,Recall,F1-Score,AUC
10,CART,0.99,0,1,0.99,0.994736842,0.995
,NB,1,0,1,1,1,1
,LR,1,0,1,1,1,1
20,CART,0.99,0,1,0.99,0.994736842,0.995
,NB,1,0,1,1,1,1
,LR,1,0,1,1,1,1
30,CART,0.98,0,1,0.98,0.989473684,0.99
,NB,1,0,1,1,1,1
,LR,1,0,1,1,1,1
40,CART,1,0,1,1,1,1
,NB,1,0,1,1,1,1
,LR,1,0,1,1,1,1
50,CART,1,0,1,1,1,1
,NB,1,0,1,1,1,1
,LR,1,0,1,1,1,1
60,CART,1,0,1,1,1,1
,NB,1,0,1,1,1,1
,LR,1,0,1,1,1,1
70,CART,1,0,1,1,1,1
,NB,1,0,1,1,1,1
,LR,1,0,1,1,1,1
80,CART,0.96,0,1,0.96,0.978947368,0.98
,NB,1,0,1,1,1,1
,LR,1,0,1,1,1,1
90,CART,0.99,0,1,0.99,0.994736842,0.995
,NB,1,0,1,1,1,1
,LR,1,0,1,1,1,1
100,CART,0.99,0,1,0.99,0.994736842,0.995
,NB,0.99,0,1,0.99,0.994736842,0.995
,LR,1,0,1,1,1,1
200,CART,0.99,0,1,0.99,0.994736842,0.995
,NB,1,0,1,1,1,1
,LR,1,0,1,1,1,1
300,CART,0.95,0.05,0.990909091,0.95,0.96833751,0.95
,NB,1,0,1,1,1,1
,LR,1,0,1,1,1,1
400,CART,0.99,0,1,0.99,0.994736842,0.995
,NB,1,0,1,1,1,1
,LR,1,0,1,1,1,1
